label-dash	rangeIncludes	domainIncludes	has_label_snail	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
answer-count	Integer	Question	answers	answer_count	answerCount								The number of answers this question has received.
by-month-no	Integer	Schedule	month	by_month_no	byMonth	pending:							Defines the month(s) of the year on which a recurring <a class="localLink" href="/Event">Event</a> takes place. Specified as an <a class="localLink" href="/Integer">Integer</a> between 1-12. January is 1.
by-month-day	Integer	Schedule	day_in_month	by_month_day	byMonthDay	pending:							Defines the day(s) of the month on which a recurring <a class="localLink" href="/Event">Event</a> takes place. Specified as an <a class="localLink" href="/Integer">Integer</a> between 1-31.
by-month-week	Integer	Schedule	week_in_month	by_month_week	byMonthWeek	pending:							Defines the week(s) of the month on which a recurring Event takes place. Specified as an Integer between 1-5. For clarity, byMonthWeek is best used in conjunction with byDay to indicate concepts like the first and third Mondays of a month.
collection-size	Integer	Collection	items_in_collection	collection_size	collectionSize	pending:							The number of items in the <a class="localLink" href="/Collection">Collection</a>.
comment-count	Integer	CreativeWork	comments	comment_count	commentCount								The number of comments this CreativeWork (e.g. Article, Question or Answer) has received. This is most applicable to works published in Web sites with commenting system; additional comments may exist elsewhere.
constraining-property	Integer	StatisticalPopulation	constraining_properties	constraining_property	constrainingProperty	pending:							"Indicates a property used as a constraint to define a <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a> with respect to the set of entities
  corresponding to an indicated type (via <a class=""localLink"" href=""/populationType"">populationType</a>)."
downvote-count	Integer	Comment	downvotes	downvote_count	downvoteCount								The number of downvotes this question, answer or comment has received from the community.
maximum-attendee-capacity	Integer	Event, Place	maximum_attendees	maximum_attendee_capacity	maximumAttendeeCapacity								The total number of individuals that may attend an event or venue.
maximum-enrollment	Integer	EducationalOccupationalProgram	maximum_enrollments	maximum_enrollment	maximumEnrollment	pending:							The maximum number of students who may be enrolled in the program.
maximum-physical-attendee-capacity	Integer	Event	maximum_physical_attendees	maximum_physical_attendee_capacity	maximumPhysicalAttendeeCapacity	pending:							The maximum physical attendee capacity of an <a class="localLink" href="/Event">Event</a> whose <a class="localLink" href="/eventAttendanceMode">eventAttendanceMode</a> is <a class="localLink" href="/OfflineEventAttendanceMode">OfflineEventAttendanceMode</a> (or the offline aspects, in the case of a <a class="localLink" href="/MixedEventAttendanceMode">MixedEventAttendanceMode</a>).
maximum-virtual-attendee-capacity	Integer	Event	maximum_virtual_attendees	maximum_virtual_attendee_capacity	maximumVirtualAttendeeCapacity	pending:							The maximum physical attendee capacity of an <a class="localLink" href="/Event">Event</a> whose <a class="localLink" href="/eventAttendanceMode">eventAttendanceMode</a> is <a class="localLink" href="/OnlineEventAttendanceMode">OnlineEventAttendanceMode</a> (or the online aspects, in the case of a <a class="localLink" href="/MixedEventAttendanceMode">MixedEventAttendanceMode</a>).
num-constraints	Integer	StatisticalPopulation	constraints	num_constraints	numConstraints	pending:							Indicates the number of constraints (not counting <a class="localLink" href="/populationType">populationType</a>) defined for a particular <a class="localLink" href="/StatisticalPopulation">StatisticalPopulation</a>. This helps applications understand if they have access to a sufficiently complete description of a <a class="localLink" href="/StatisticalPopulation">StatisticalPopulation</a>.
num-tracks	Integer	MusicPlaylist	tracks	num_tracks	numTracks								The number of tracks in this album or playlist.
number-of-bathrooms-total	Integer	Accommodation, FloorPlan	bathrooms_total	number_of_bathrooms_total	numberOfBathroomsTotal	pending:							The total integer number of bathrooms in some <a class="localLink" href="/Accommodation">Accommodation</a>, following real estate conventions as <a href="https://ddwiki.reso.org/display/DDW17/BathroomsTotalInteger+Field">documented in RESO</a>: "The simple sum of the number of bathrooms. For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3.". See also <a class="localLink" href="/numberOfRooms">numberOfRooms</a>.
number-of-episodes	Integer	CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	episodes	number_of_episodes	numberOfEpisodes								The number of episodes in this season or series.
number-of-items	Integer	ItemList	items	number_of_items	numberOfItems								The number of items in an ItemList. Note that some descriptions might not fully describe all items in a list (e.g., multi-page pagination); in such cases, the numberOfItems would be for the entire list.
number-of-pages	Integer	Book	pages	number_of_pages	numberOfPages								The number of pages in the book.
number-of-seasons	Integer	RadioSeries, TVSeries, VideoGameSeries	seasons	number_of_seasons	numberOfSeasons								The number of seasons in this series.
offer-count	Integer	AggregateOffer	offers	offer_count	offerCount								The number of offers for the product.
players-online	Integer	GameServer	players_online	players_online	playersOnline								Number of players on the server.
rating-count	Integer	AggregateRating	ratings	rating_count	ratingCount								The count of total number of ratings.
remaining-attendee-capacity	Integer	Event	remaining_attendees	remaining_attendee_capacity	remainingAttendeeCapacity								The number of attendee places for an event that remain unallocated.
repeat-count	Integer	Schedule	repeats	repeat_count	repeatCount	pending:							Defines the number of times a recurring <a class="localLink" href="/Event">Event</a> will take place.
required-max-age	Integer	PeopleAudience	required_max_age	required_max_age	requiredMaxAge								Audiences defined by a person's maximum age.
required-min-age	Integer	PeopleAudience	required_min_age	required_min_age	requiredMinAge								Audiences defined by a person's minimum age.
review-count	Integer	AggregateRating	reviews	review_count	reviewCount								The count of total number of reviews.
total-job-openings	Integer	JobPosting	total_job_openings	total_job_openings	totalJobOpenings	pending:							The number of positions open for this job posting. Use a positive integer. Do not use if the number of positions is unclear or not known.
upvote-count	Integer	Comment	upvotes	upvote_count	upvoteCount								The number of upvotes this question, answer or comment has received from the community.
user-interaction-count	Integer	InteractionCounter	user_interactions	user_interaction_count	userInteractionCount								The number of interactions for the CreativeWork using the WebSite or SoftwareApplication.
word-count	Integer	Article	words	word_count	wordCount								The number of words in the text of the Article.
num-adults	Integer, QuantitativeValue	LodgingReservation	adults	num_adults	numAdults								The number of adults staying in the unit.
num-children	Integer, QuantitativeValue	LodgingReservation	children	num_children	numChildren								The number of children staying in the unit.
party-size	Integer, QuantitativeValue	FoodEstablishmentReservation, TaxiReservation	party_members	party_size	partySize								Number of people the reservation should accommodate.
number-of-credits	Integer, StructuredValue	Course, EducationalOccupationalProgram	credits	number_of_credits	numberOfCredits	pending:							The number of credits or units awarded by a Course or required to complete an EducationalOccupationalProgram.
typical-credits-per-term	Integer, StructuredValue	EducationalOccupationalProgram	credits_per_term_typical	typical_credits_per_term	typicalCreditsPerTerm	pending:							The number of credits or units a full-time student would be expected to take in 1 term however 'term' is defined by the institution.
art-edition	Integer, Text	VisualArtwork	art_edition	art_edition	artEdition								The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example "20").
clip-number	Integer, Text	Clip	clip	clip_number	clipNumber		position						Position of the clip within an ordered group of clips.
episode-number	Integer, Text	Episode	episode	episode_number	episodeNumber		position						Position of the episode within an ordered group of episodes.
issue-number	Integer, Text	PublicationIssue	issue	issue_number	issueNumber		position	http://purl.org/ontology/bibo/issue					Identifies the issue of publication; for example, "iii" or "2".
page-end	Integer, Text	Article, Chapter, PublicationIssue, PublicationVolume	page_end	page_end	pageEnd			http://purl.org/ontology/bibo/pageEnd					The page on which the work ends; for example "138" or "xvi".
page-start	Integer, Text	Article, Chapter, PublicationIssue, PublicationVolume	page_start	page_start	pageStart			http://purl.org/ontology/bibo/pageStart					The page on which the work starts; for example "135" or "xiii".
position	Integer, Text	CreativeWork, ListItem	position	position	position				clipNumber, episodeNumber, issueNumber, seasonNumber, volumeNumber				The position of an item in a series or sequence of items.
season-number	Integer, Text	CreativeWorkSeason	season	season_number	seasonNumber		position						Position of the season within an ordered group of seasons.
volume-number	Integer, Text	PublicationVolume	volume	volume_number	volumeNumber		position	http://purl.org/ontology/bibo/volume					Identifies the volume of publication or multi-part work; for example, "iii" or "2".
