has_label_snail	label-dash	rangeIncludes	domainIncludes	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
is_abridged	is-abridged	Boolean	Book	abridged	https://bib.schema.org							Indicates whether the book is an abridged edition.
is_contactless_payment	is-contactless-payment	Boolean	PaymentCard	contactlessPayment	pending:							A secure method for consumers to purchase products or services via debit, credit or smartcards by using RFID or NFC technology.
is_direct_apply	is-direct-apply	Boolean	JobPosting	directApply	pending:							Indicates whether an <a class="localLink" href="/url">url</a> that is associated with a <a class="localLink" href="/JobPosting">JobPosting</a> enables direct application for the job, via the posting website. A job posting is considered to have directApply of <a class="localLink" href="/True">True</a> if an application process for the specified job can be directly initiated via the url(s) given (noting that e.g. multiple internet domains might nevertheless be involved at an implementation level). A value of <a class="localLink" href="/False">False</a> is appropriate if there is no clear path to applying directly online for the specified job, navigating directly from the JobPosting url(s) supplied.
is_not_shipping	is-not-shipping	Boolean	OfferShippingDetails, ShippingRateSettings	doesNotShip	pending:							Indicates when shipping to a particular <a class="localLink" href="/shippingDestination">shippingDestination</a> is not available.
is_domiciled_mortgage	is-domiciled-mortgage	Boolean	MortgageLoan	domiciledMortgage	pending:							Whether borrower is a resident of the jurisdiction where the property is located.
is_experience_in_place_of_education	is-experience-in-place-of-education	Boolean	JobPosting	experienceInPlaceOfEducation	pending:							Indicates whether a <a class="localLink" href="/JobPosting">JobPosting</a> will accept experience (as indicated by <a class="localLink" href="/OccupationalExperienceRequirements">OccupationalExperienceRequirements</a>) in place of its formal educational qualifications (as indicated by <a class="localLink" href="/educationRequirements">educationRequirements</a>). If true, indicates that satisfying one of these requirements is sufficient.
is_free	is-free	Boolean	PublicationEvent	free							isAccessibleForFree	A flag to signal that the item, event, or place is accessible for free.
is_drive_through_service	is-drive-through-service	Boolean	Place	hasDriveThroughService	pending:							Indicates whether some facility (e.g. <a class="localLink" href="/FoodEstablishment">FoodEstablishment</a>, <a class="localLink" href="/CovidTestingFacility">CovidTestingFacility</a>) offers a service that can be used by driving through in a car. In the case of <a class="localLink" href="/CovidTestingFacility">CovidTestingFacility</a> such facilities could potentially help with social distancing from other potentially-infected users.
is_health_plan_cost_sharing	is-health-plan-cost-sharing	Boolean	HealthPlanFormulary, HealthPlanNetwork	healthPlanCostSharing	pending:							The costs to the patient for services under this network or formulary.
is_in_store_return_offered	in-store-returns-offered	Boolean	MerchantReturnPolicy	inStoreReturnsOffered	pending:							Are in-store returns offered? (For more advanced return methods use the <a class="localLink" href="/returnMethod">returnMethod</a> property.)
is_accepting_new_patients	is-accepting-new-patients	Boolean	MedicalOrganization	isAcceptingNewPatients	pending:							Whether the provider is accepting new patients.
is_accessible_for_free	is-accessible-for-free	Boolean	CreativeWork, Event, Place	isAccessibleForFree						free		A flag to signal that the item, event, or place is accessible for free.
is_available_generically	is-available-generically	Boolean	Drug	isAvailableGenerically								True if the drug is available in a generic form (regardless of name).
is_family_friendly	is-family-friendly	Boolean	CreativeWork, Offer, Product	isFamilyFriendly								Indicates whether this content is family friendly.
is_gift	is-gift	Boolean	Order	isGift								Indicates whether the offer was accepted as a gift for someone other than the buyer.
is_live_broadcast	is-live-broadcast	Boolean	BroadcastEvent	isLiveBroadcast								True if the broadcast is of a live event.
is_proprietary	is-proprietary	Boolean	DietarySupplement, Drug	isProprietary								True if this item's name is a proprietary/brand name (vs. generic name).
is_resizable	is-resizable	Boolean	3DModel	isResizable	pending:							Whether the 3DModel allows resizing. For example, room layout applications often do not allow 3DModel elements to be resized to reflect reality.
is_unlabelled_fallback	is-unlabelled-fallback	Boolean	DeliveryTimeSettings, ShippingRateSettings	isUnlabelledFallback	pending:							This can be marked 'true' to indicate that some published <a class="localLink" href="/DeliveryTimeSettings">DeliveryTimeSettings</a> or <a class="localLink" href="/ShippingRateSettings">ShippingRateSettings</a> are intended to apply to all <a class="localLink" href="/OfferShippingDetails">OfferShippingDetails</a> published by the same merchant, when referenced by a <a class="localLink" href="/shippingSettingsLink">shippingSettingsLink</a> in those settings. It is not meaningful to use a 'true' value for this property alongside a transitTimeLabel (for <a class="localLink" href="/DeliveryTimeSettings">DeliveryTimeSettings</a>) or shippingLabel (for <a class="localLink" href="/ShippingRateSettings">ShippingRateSettings</a>), since this property is for use with unlabelled settings.
is_job_immediate_start	is-job-immediate-start	Boolean	JobPosting	jobImmediateStart	pending:							An indicator as to whether a position is available for an immediate start.
is_multiple_value	is-multiple-value	Boolean	PropertyValueSpecification	multipleValues								Whether multiple values are allowed for the property.  Default is false.
has_prescription_by_mail	has-prescription-by-mail	Boolean	HealthPlanFormulary	offersPrescriptionByMail	pending:							Whether prescriptions can be delivered by mail.
is_public_access	is-public-access	Boolean	Place	publicAccess								A flag to signal that the <a class="localLink" href="/Place">Place</a> is open to public visitors.  If this property is omitted there is no assumed default boolean value
is_readonly_value	is-readonly-value	Boolean	PropertyValueSpecification	readonlyValue								Whether or not a property is mutable.  Default is false. Specifying this for a property that also has a value makes it act similar to a "hidden" input in an HTML form.
is_recourse_loan	is-recourse-loan	Boolean	LoanOrCredit	recourseLoan	pending:							The only way you get the money back in the event of default is the security. Recourse is where you still have the opportunity to go back to the borrower for the rest of the money.
is_renegotiable_loan	is-renegotiable-loan	Boolean	LoanOrCredit	renegotiableLoan	pending:							Whether the terms for payment of interest can be renegotiated during the life of the loan.
is_representative_of_page	is-representative-of-page	Boolean	ImageObject	representativeOfPage								Indicates whether this image is representative of the content of the page.
is_smoking_allowed	is-smoking-allowed	Boolean	Place	smokingAllowed								Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.
is_value_added_tax_included	is-value-added-tax-included	Boolean	PriceSpecification	valueAddedTaxIncluded								Specifies whether the applicable value-added tax (VAT) is included in the price specification or not.
is_value_required	is-value-required	Boolean	PropertyValueSpecification	valueRequired								Whether the property must be filled in to complete the action.  Default is false.
is_subscription_required	is-subscription-required	Boolean, MediaSubscription	ActionAccessSpecification, MediaObject	requiresSubscription								Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>true</code> or <code>false</code> (note that an earlier version had 'yes', 'no').
is_cash_back	is-cash-back	Boolean, Number	PaymentCard	cashBack	pending:							A cardholder benefit that pays the cardholder a small percentage of their net expenditures.
has_value	has-value	Boolean, Number, StructuredValue, Text	MonetaryAmount, PropertyValue, QuantitativeValue	value								"The value of the quantitative value or property value node.<br/><br/>

<ul>
<li>For <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> and <a class=""localLink"" href=""/MonetaryAmount"">MonetaryAmount</a>, the recommended type for values is 'Number'.</li>
<li>For <a class=""localLink"" href=""/PropertyValue"">PropertyValue</a>, it can be 'Text', 'Number', 'Boolean', or 'StructuredValue'.</li>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
is_pet_allowed	is-pet-allowed	Boolean, Text	Accommodation, ApartmentComplex, FloorPlan, LodgingBusiness	petsAllowed								Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.
is_reservation_accepted	is-reservation-accepted	Boolean, Text, URL	FoodEstablishment	acceptsReservations								Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.
